iter	Passed	Remaining
440	1282	1625
441	1284	1621
442	1287	1618
443	1289	1615
444	1292	1612
445	1294	1608
446	1297	1605
447	1299	1601
448	1302	1597
449	1304	1594
450	1307	1591
451	1309	1588
452	1312	1584
453	1315	1581
454	1318	1578
455	1320	1575
456	1322	1571
457	1325	1568
458	1328	1566
459	1331	1563
460	1334	1559
461	1336	1556
462	1339	1553
463	1341	1549
464	1344	1546
465	1346	1543
466	1349	1539
467	1351	1536
468	1354	1533
469	1356	1529
470	1359	1526
471	1362	1523
472	1365	1520
473	1367	1517
474	1370	1515
475	1373	1512
476	1376	1508
477	1378	1505
478	1381	1502
479	1383	1499
480	1386	1496
481	1389	1493
482	1393	1491
483	1396	1488
484	1399	1486
485	1402	1483
486	1405	1480
487	1409	1478
488	1412	1476
489	1415	1473
490	1417	1469
491	1420	1466
492	1423	1463
493	1425	1460
494	1428	1457
495	1431	1454
496	1433	1450
497	1436	1447
498	1438	1444
499	1440	1440
500	1443	1437
501	1446	1434
502	1448	1431
503	1451	1428
504	1453	1425
505	1456	1421
506	1458	1418
507	1461	1415
508	1464	1412
509	1466	1409
510	1469	1406
511	1472	1403
512	1475	1400
513	1477	1397
514	1481	1394
515	1483	1391
516	1486	1388
517	1488	1385
518	1491	1382
519	1493	1378
520	1496	1375
521	1499	1372
522	1501	1369
523	1504	1366
524	1507	1363
525	1510	1361
526	1512	1357
527	1515	1354
528	1518	1351
529	1520	1348
530	1523	1345
531	1525	1342
532	1528	1339
533	1531	1336
534	1533	1333
535	1536	1330
536	1538	1326
537	1541	1323
538	1544	1320
539	1546	1317
540	1549	1314
541	1551	1311
542	1553	1307
543	1556	1304
544	1558	1301
545	1561	1298
546	1563	1294
547	1566	1291
548	1568	1288
549	1571	1285
550	1573	1282
551	1575	1279
552	1578	1275
553	1580	1272
554	1583	1269
555	1585	1266
556	1588	1263
557	1591	1261
558	1594	1258
559	1597	1255
560	1600	1252
561	1603	1250
562	1607	1247
563	1611	1245
564	1614	1242
565	1616	1239
566	1619	1236
567	1622	1233
568	1624	1230
569	1627	1227
570	1629	1224
571	1632	1221
572	1634	1218
573	1637	1215
574	1639	1211
575	1642	1208
576	1644	1205
577	1647	1202
578	1649	1199
579	1652	1196
580	1654	1193
581	1657	1190
582	1659	1187
583	1662	1184
584	1665	1181
585	1667	1178
586	1670	1175
587	1672	1172
588	1675	1169
589	1678	1166
590	1680	1163
591	1683	1160
592	1686	1157
593	1689	1154
594	1691	1151
595	1693	1148
596	1696	1145
597	1699	1142
598	1701	1139
599	1704	1136
600	1706	1132
601	1708	1129
602	1711	1126
603	1714	1123
604	1716	1120
605	1719	1117
606	1721	1114
607	1724	1111
608	1727	1108
609	1729	1105
610	1732	1102
611	1734	1099
612	1737	1096
613	1739	1093
614	1742	1090
615	1744	1087
616	1747	1084
617	1750	1081
618	1752	1078
619	1755	1076
620	1757	1072
621	1760	1069
622	1763	1066
623	1765	1063
624	1768	1060
625	1770	1057
626	1773	1054
627	1775	1051
628	1777	1048
629	1780	1045
630	1782	1042
631	1785	1039
632	1788	1037
633	1792	1034
634	1795	1031
635	1797	1028
636	1800	1025
637	1803	1023
638	1806	1020
639	1810	1018
640	1813	1015
641	1816	1012
642	1818	1009
643	1821	1006
644	1824	1003
645	1826	1001
646	1829	998
647	1831	995
648	1834	991
649	1836	989
